City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Amritsar,2017-11-07,50.33,95.06,11.72,4.03,0.0,8.84,28.17,52.28,11.28,87.0
Amritsar,2017-11-08,26.23,168.52,14.66,3.75,0.81,13.05,5.08,52.28,8.08,141.0
Amritsar,2017-11-09,27.56,99.6,18.53,7.13,0.7,6.47,10.77,52.28,10.76,97.0
Amritsar,2017-11-10,27.56,99.6,18.53,7.13,0.0,39.67,10.77,39.8,37.40899999999996,97.0
Amritsar,2017-11-11,133.52499999999975,240.035,24.95,9.16,1.7444999999999993,36.54,40.1,67.76,37.40899999999996,293.79999999999995
Amritsar,2017-11-12,44.98,87.5,13.03,9.09,1.7444999999999993,17.91,25.9,38.91,3.09,162.0
Amritsar,2017-12-03,25.65,54.59,26.15,8.32,0.0,15.64,12.14,38.91,11.73,55.0
Amritsar,2017-12-04,33.11,58.18,19.74,1.1,0.0,15.98,12.64,38.91,28.98,63.0
Amritsar,2017-12-05,133.52499999999975,94.34,16.01,10.25,0.0,16.36,12.68,38.91,29.27,293.79999999999995
Amritsar,2017-12-06,41.62,73.06,13.84,6.97,0.0,5.62,22.31,38.91,27.81,65.0
Amritsar,2017-12-07,48.58,90.82,9.42,3.53,0.0,6.22,34.56,38.91,11.15,97.0
Amritsar,2017-12-08,38.53,240.035,14.79,5.38,0.66,8.1,5.87,38.91,8.14,177.0
Amritsar,2017-12-09,59.49,163.28,17.95,5.52,0.95,9.97,10.38,38.91,13.18,125.0
Amritsar,2017-12-10,59.49,163.28,17.95,5.52,0.0,27.75,10.38,38.87,36.98,125.0
Amritsar,2017-12-11,133.52499999999975,240.035,29.61,8.14,1.7444999999999993,31.48,49.10599999999995,79.45699999999991,32.33,293.79999999999995
Amritsar,2017-12-12,53.43,87.57,10.07,4.37,1.7444999999999993,19.16,25.21,35.27,1.73,127.0
Amritsar,2018-01-01,133.52499999999975,240.035,30.43,2.9,1.7,18.68,7.82,38.24,3.71,293.79999999999995
Amritsar,2018-01-02,44.39,114.54,48.59899999999999,3.48,0.94,13.89,49.10599999999995,79.45699999999991,16.33,159.0
Amritsar,2018-01-03,46.84,128.01,9.46,3.83,0.56,16.46,16.33,36.16,10.5,132.0
Amritsar,2018-01-04,42.65,127.85,8.85,4.97,0.77,16.46,16.33,36.16,10.5,132.0
Amritsar,2018-01-05,77.06,201.95,11.04,8.84,0.87,16.46,16.33,36.16,7.87,157.0
Amritsar,2018-01-06,99.15,240.035,8.55,6.51,1.56,23.58,0.4,8.62,1.51,254.0
Amritsar,2018-01-07,39.38,89.71,18.89,3.78,1.56,39.67,13.26,32.13,7.34,94.0
Amritsar,2018-01-08,39.38,63.84,7.14,2.21,0.17,39.25,12.7,19.81,5.77,71.0
Amritsar,2018-01-09,39.38,74.16,18.0,5.43,0.0,33.67,15.86,23.87,11.87,78.0
Amritsar,2018-01-10,39.38,119.97,14.79,6.5,0.0,20.78,10.65,25.44,11.08,100.0
Amritsar,2018-01-11,116.63,240.035,21.4,6.32,0.0,19.98,23.71,41.97,13.08,251.0
Amritsar,2018-01-12,62.95,140.07,36.7,5.91,0.01,16.61,29.56,64.23,9.16,125.0
Amritsar,2018-02-01,133.52499999999975,240.035,31.25,3.12,1.74,18.93,9.53,40.78,3.93,293.79999999999995
Amritsar,2018-02-02,31.79,96.3,48.59899999999999,2.56,0.82,13.11,49.10599999999995,79.45699999999991,15.06,149.0
Amritsar,2018-02-03,16.77,58.27,7.56,3.5,0.62,17.53,14.4,21.96,10.14,79.0
Amritsar,2018-02-04,34.55,140.89,6.95,4.64,0.78,17.53,14.4,21.96,10.58,79.0
Amritsar,2018-02-05,60.54,188.97,10.25,12.24,1.7444999999999993,17.53,14.4,21.96,6.78,161.0
Amritsar,2018-02-06,48.66,179.33,8.57,6.14,1.26,20.8,1.42,9.19,1.6,200.0
Amritsar,2018-02-07,42.91,96.36,18.79,4.23,1.26,36.15,13.17,31.94,7.41,96.0
Amritsar,2018-02-08,42.91,61.34,8.58,3.89,0.5,39.67,14.06,22.66,7.14,62.0
Amritsar,2018-02-09,42.91,48.94,10.27,2.36,0.0,13.52,12.55,18.51,5.76,62.0
Amritsar,2018-02-10,42.91,130.41,15.03,5.83,0.0,21.03,10.67,25.7,10.88,119.0
Amritsar,2018-02-11,33.74,87.84,21.19,6.0,0.01,15.41,20.17,41.35,12.48,137.0
Amritsar,2018-02-12,41.91,93.07,38.0,6.0,0.0,17.04,28.89,64.86,9.19,109.0
Amritsar,2018-03-01,87.04,179.58,29.9,3.54,1.42,18.71,7.47,37.38,3.65,232.0
Amritsar,2018-03-02,55.78,138.44,48.59899999999999,2.79,0.77,14.2,49.10599999999995,79.45699999999991,15.15,168.0
Amritsar,2018-03-03,25.72,77.3,8.99,3.55,0.65,17.96,16.06,35.26,10.21,73.0
Amritsar,2018-03-04,65.85,164.22,6.36,4.41,0.85,17.96,16.06,35.26,7.88,73.0
Amritsar,2018-03-05,37.37,83.42,8.35,6.86,0.89,17.96,16.06,35.26,5.24,120.0
Amritsar,2018-03-06,67.25,199.98,8.4,6.23,1.24,23.36,0.76,8.35,1.58,164.0
Amritsar,2018-03-07,29.81,42.27,18.68,9.09,1.24,21.49,13.11,31.77,7.44,59.0
Amritsar,2018-03-08,29.81,147.2,8.94,2.77,0.23,30.38,14.18,23.12,7.08,67.0
Amritsar,2018-03-09,29.81,36.88,12.7,3.28,0.0,20.52,18.56,13.82,8.53,67.0
Amritsar,2018-03-10,29.81,134.54,14.44,6.65,0.0,17.06,10.62,25.04,10.64,122.0
Amritsar,2018-03-11,48.76,139.29,27.79,6.47,0.0,14.1,22.89,50.66,13.46,112.0
Amritsar,2018-03-12,53.8,123.95,33.28,9.49,0.01,23.99,28.33,47.57,8.6,101.0
Amritsar,2018-04-01,53.8,123.95,33.28,9.49,0.01,23.99,28.33,47.57,8.6,212.0
Amritsar,2018-04-02,50.4,131.72,48.59899999999999,2.66,0.66,14.0,49.10599999999995,79.45699999999991,14.1,165.0
Amritsar,2018-04-03,19.79,57.47,9.64,4.36,0.74,18.93,16.75,36.17,9.78,64.0
Amritsar,2018-04-04,60.17,196.48,2.24,5.48,0.96,18.93,16.75,36.17,9.78,64.0
Amritsar,2018-04-05,46.96,117.05,8.24,4.5,0.8,18.93,16.75,36.17,5.14,104.0
Amritsar,2018-04-06,61.84,194.06,9.97,6.29,1.7444999999999993,33.48,5.32,12.51,3.7,174.0
Amritsar,2018-04-07,57.48,49.28,18.73,11.28,1.7444999999999993,20.67,19.18,34.32,7.33,83.0
Amritsar,2018-04-08,57.48,127.95,8.67,4.57,0.14,38.44,12.49,21.08,5.64,126.0
Amritsar,2018-04-09,57.48,39.17,11.55,2.99,0.0,23.02,21.61,29.63,7.67,39.0
Amritsar,2018-04-10,57.48,79.33,18.87,6.61,0.0,20.1,12.77,31.65,10.07,104.0
Amritsar,2018-04-11,27.22,102.81,32.62,5.88,0.0,11.15,29.63,20.68,15.0,124.0
Amritsar,2018-04-12,76.21,168.2,26.18,7.11,0.02,23.88,21.75,39.31,7.04,115.0
Amritsar,2018-05-01,76.21,168.2,26.18,7.11,0.02,23.88,21.75,39.31,7.04,115.0
Amritsar,2018-05-02,58.71,147.2,48.59899999999999,3.22,0.64,17.08,43.49,79.45699999999991,9.31,152.0
Amritsar,2018-05-03,31.52,77.37,6.09,3.46,0.71,23.99,12.38,26.79,8.68,69.0
Amritsar,2018-05-04,52.95,159.99,16.91,6.02,0.29,23.99,12.38,26.79,9.21,69.0
Amritsar,2018-05-05,60.38,157.78,8.23,5.8,0.95,23.99,12.38,26.79,5.14,123.0
Amritsar,2018-05-06,59.22,208.58,9.6,3.13,1.23,38.93,12.27,21.53,4.87,164.0
Amritsar,2018-05-07,35.43,75.99,7.37,5.02,1.23,31.48,4.7,11.84,4.63,71.0
Amritsar,2018-05-08,35.43,83.64,8.11,5.08,1.23,33.16,11.48,19.59,4.03,100.0
Amritsar,2018-05-09,35.43,64.29,10.75,2.33,0.0,32.89,12.35,19.65,5.99,53.0
Amritsar,2018-05-10,35.43,65.32,17.17,6.18,0.0,21.78,11.02,28.2,9.51,78.0
Amritsar,2018-05-11,27.75,106.09,27.03,6.01,0.0,25.27,20.97,34.54,13.25,78.0
Amritsar,2018-05-12,61.69,137.47,33.08,4.06,0.01,19.18,27.29,55.41,8.51,127.0
Amritsar,2018-06-01,61.69,137.47,33.08,4.06,0.01,19.18,27.29,55.41,8.51,127.0
Amritsar,2018-06-02,48.6,136.91,48.59899999999999,2.82,0.63,13.82,28.66,79.45699999999991,4.74,130.0
Amritsar,2018-06-03,47.8,85.78,4.86,2.86,0.63,25.36,10.74,22.62,7.06,73.0
Amritsar,2018-06-04,46.28,131.27,17.53,5.68,0.24,25.36,10.74,22.62,9.33,126.0
Amritsar,2018-06-05,43.89,121.76,8.22,5.07,0.79,25.36,10.74,22.62,5.13,131.0
Amritsar,2018-06-06,43.89,121.76,8.22,5.07,0.79,25.36,10.74,22.62,5.13,170.0
Amritsar,2018-06-07,57.96,119.11,9.12,10.6,0.16,37.0,8.37,17.48,5.47,101.0
Amritsar,2018-06-08,57.96,47.79,8.08,6.87,0.16,34.94,11.72,19.81,3.92,66.0
Amritsar,2018-06-09,57.96,82.86,8.52,2.4,0.0,22.94,11.14,19.66,5.36,70.0
Amritsar,2018-06-10,57.96,95.99,15.89,6.16,0.0,18.11,12.69,28.58,9.8,83.0
Amritsar,2018-06-11,31.86,90.9,38.29,6.16,0.0,13.28,25.7,63.98,14.88,74.0
Amritsar,2018-06-12,70.49,156.56,43.85,6.16,0.0,15.79,40.56,79.45699999999991,11.49,139.0
Amritsar,2018-07-01,70.49,156.56,43.85,6.16,0.0,15.79,40.56,79.45699999999991,11.49,139.0
Amritsar,2018-07-02,59.76,157.27,42.42,4.03,0.64,16.12,22.63,68.61,3.53,130.0
Amritsar,2018-07-03,58.97,153.53,9.45,3.85,0.69,18.99,10.96,20.72,7.05,133.0
Amritsar,2018-07-04,34.09,105.54,17.85,4.15,0.26,18.99,10.96,20.72,9.03,110.0
Amritsar,2018-07-05,26.75,83.47,8.26,6.45,0.62,18.99,10.96,20.72,5.13,95.0
Amritsar,2018-07-06,53.32,146.53,17.23,4.73,1.7444999999999993,39.67,13.48,27.03,3.12,95.0
Amritsar,2018-07-07,51.58,109.11,9.3,7.1,0.18,39.67,11.37,20.67,6.76,107.0
Amritsar,2018-07-08,51.58,19.9,7.92,8.37,0.18,34.38,12.57,20.49,3.58,39.0
Amritsar,2018-07-09,51.58,56.13,7.29,2.74,0.0,19.52,9.57,16.86,4.69,72.0
Amritsar,2018-07-10,51.58,194.56,15.38,6.75,0.0,23.54,11.01,26.39,9.96,133.0
Amritsar,2018-07-11,73.92,213.3,43.28,19.13,0.32,11.34,34.67,75.25,16.74,146.0
Amritsar,2018-07-12,63.57,141.24,33.89,19.13,0.0,20.74,29.04,60.93,8.88,130.0
Amritsar,2018-08-01,63.57,141.24,33.89,19.13,0.0,20.74,29.04,60.93,8.88,130.0
Amritsar,2018-08-02,67.11,160.02,48.59899999999999,3.38,0.61,14.43,18.92,71.77,4.75,141.0
Amritsar,2018-08-03,51.79,140.04,10.5,3.92,0.75,17.81,11.78,22.28,7.13,132.0
Amritsar,2018-08-04,42.13,124.71,17.43,5.38,0.24,17.81,11.78,22.28,9.05,112.0
Amritsar,2018-08-05,31.61,81.6,8.21,5.14,0.53,17.81,11.78,22.28,5.13,82.0
Amritsar,2018-08-06,54.7,175.81,29.71,6.52,1.7444999999999993,32.46,49.10599999999995,39.7,5.39,148.0
Amritsar,2018-08-07,41.99,92.76,9.2,6.03,0.46,38.63,11.28,20.48,6.75,95.0
Amritsar,2018-08-08,41.99,18.23,6.56,6.67,0.46,33.25,13.32,17.81,3.21,37.0
Amritsar,2018-08-09,41.99,24.89,7.84,3.13,0.0,22.58,10.26,18.1,4.47,40.0
Amritsar,2018-08-10,41.99,154.77,12.72,5.05,0.0,20.87,10.98,23.7,11.46,157.0
Amritsar,2018-08-11,96.85,215.67,32.62,9.91,1.13,30.02,29.06,54.79,14.69,237.0
Amritsar,2018-08-12,69.19,153.63,37.59,6.2,0.01,16.57,34.65,70.23,9.95,131.0
Amritsar,2018-09-01,69.19,153.63,37.59,6.2,0.01,16.57,34.65,70.23,9.95,131.0
Amritsar,2018-09-02,69.65,162.02,48.59899999999999,7.24,0.64,18.68,16.51,65.6,4.9,138.0
Amritsar,2018-09-03,29.06,104.61,9.14,3.55,0.69,18.23,11.67,27.71,7.18,112.0
Amritsar,2018-09-04,28.51,138.44,11.57,4.41,0.62,18.23,11.67,27.71,7.14,138.0
Amritsar,2018-09-05,58.47,118.73,8.25,4.77,0.57,18.23,11.67,27.71,5.13,100.0
Amritsar,2018-09-06,29.87,135.11,6.05,11.15,0.75,28.03,25.06,21.99,4.36,133.0
Amritsar,2018-09-07,43.36,87.53,9.17,9.03,0.15,38.7,11.31,20.48,6.88,93.0
Amritsar,2018-09-08,43.36,19.99,7.11,7.22,0.15,35.4,5.55,12.66,7.71,40.0
Amritsar,2018-09-09,43.36,34.62,10.65,2.87,0.0,17.87,10.88,21.4,4.37,33.0
Amritsar,2018-09-10,43.36,87.81,10.99,3.72,0.0,9.48,12.7,23.68,13.5,106.0
Amritsar,2018-09-11,60.41,112.53,38.15,3.2,0.81,27.13,32.1,70.0,14.92,124.0
Amritsar,2018-09-12,73.15,162.47,41.33,3.2,0.0,15.49,35.13,74.45,10.41,144.0
Amritsar,2018-10-01,73.15,162.47,41.33,3.2,0.0,15.49,35.13,74.45,10.41,144.0
Amritsar,2018-10-02,67.14,166.85,48.59899999999999,4.55,0.63,19.32,30.58,79.45699999999991,12.93,145.0
Amritsar,2018-10-03,28.63,90.7,9.03,3.71,0.69,26.84,12.54,21.57,7.76,91.0
Amritsar,2018-10-04,34.87,97.24,2.45,5.9,0.99,26.84,12.54,21.57,6.23,96.0
Amritsar,2018-10-05,99.65,169.11,8.25,4.96,0.7,26.84,12.54,21.57,5.14,178.0
Amritsar,2018-10-06,50.25,148.66,18.11,10.2,0.7,33.35,9.57,28.68,4.54,128.0
Amritsar,2018-10-07,52.64,68.71,10.8,7.33,0.23,25.46,8.86,19.66,7.33,88.0
Amritsar,2018-10-08,52.64,38.43,7.67,8.7,0.23,34.38,5.69,13.36,7.56,42.0
Amritsar,2018-10-09,52.64,43.28,10.85,4.32,0.0,19.64,10.47,21.24,4.34,36.0
Amritsar,2018-10-10,52.64,132.12,14.43,4.15,0.0,17.22,15.73,30.16,16.85,93.0
Amritsar,2018-10-11,54.89,157.76,38.02,3.8,0.01,26.42,33.43,69.43,9.8,114.0
Amritsar,2018-10-12,54.54,121.13,41.71,3.5,0.01,14.76,36.59,76.3,10.68,131.0
Amritsar,2018-11-01,54.54,121.13,41.71,3.5,0.01,14.76,36.59,76.3,10.68,131.0
Amritsar,2018-11-02,58.38,177.22,48.59899999999999,5.85,0.59,12.41,17.58,66.03,16.18,147.0
Amritsar,2018-11-03,42.29,129.74,9.54,3.72,0.64,30.89,12.7,29.85,7.97,110.0
Amritsar,2018-11-04,18.64,55.1,4.58,4.71,0.94,30.89,12.7,29.85,8.43,77.0
Amritsar,2018-11-05,108.04,198.34,8.24,5.85,0.7,30.89,12.7,29.85,5.13,252.0
Amritsar,2018-11-06,51.72,175.01,48.32,14.28,0.7,27.6,12.28,61.6,4.67,135.0
Amritsar,2018-11-07,28.48,46.52,10.06,7.25,0.47,30.39,9.4,19.46,7.42,81.0
Amritsar,2018-11-08,28.48,38.21,7.76,8.69,0.47,29.83,5.73,13.49,7.43,42.0
Amritsar,2018-11-09,28.48,42.87,15.46,2.74,0.0,21.88,15.68,31.14,10.81,45.0
Amritsar,2018-11-10,28.48,152.34,21.74,6.05,0.0,21.4,22.22,43.96,24.05,146.0
Amritsar,2018-11-11,62.42,178.25,34.95,3.59,0.0,22.36,30.03,62.91,8.94,158.0
Amritsar,2018-11-12,23.84,52.99,40.65,3.75,0.01,15.1,35.43,74.09,10.39,94.0
Amritsar,2018-12-01,98.85,198.54,48.59899999999999,5.39,1.47,26.64,4.95,79.45699999999991,13.86,94.0
Amritsar,2018-12-02,48.16,87.04,35.24,2.83,0.52,12.54,12.79,60.95,14.94,123.0
Amritsar,2018-12-03,48.66,155.13,8.7,8.52,0.57,31.15,12.38,28.47,7.78,128.0
Amritsar,2018-12-04,28.11,65.25,48.59899999999999,4.64,0.82,31.15,12.38,28.47,25.24,72.0
Amritsar,2018-12-05,118.6,206.81,8.26,5.73,0.68,31.15,12.38,28.47,5.13,273.0
Amritsar,2018-12-06,63.27,240.035,48.59899999999999,7.91,0.68,38.92,47.78,79.45699999999991,31.31,273.0
Amritsar,2018-12-07,36.03,55.76,8.76,5.66,0.68,25.23,10.43,19.19,7.64,50.0
Amritsar,2018-12-08,36.03,65.08,7.83,8.41,0.68,28.86,5.52,13.35,7.46,43.0
Amritsar,2018-12-09,36.03,47.01,14.9,2.81,0.0,21.21,17.18,32.09,13.52,46.0
Amritsar,2018-12-10,36.03,152.55,27.25,6.43,0.0,17.28,28.01,55.27,25.23,129.0
Amritsar,2018-12-11,33.74,96.43,37.24,2.31,0.0,17.17,29.16,64.4,9.23,120.0
Amritsar,2018-12-12,34.41,76.5,39.35,0.87,0.01,14.24,32.68,70.02,9.81,91.0
Amritsar,2019-01-01,92.38,205.42,21.67,2.87,0.17,9.65,21.66,44.01,6.61,170.0
Amritsar,2019-01-02,34.5,50.39,13.56,2.87,0.0,7.77,11.47,24.78,3.98,58.0
Amritsar,2019-01-03,57.28,122.07,10.54,2.87,0.51,21.55,10.4,20.93,9.16,109.0
Amritsar,2019-01-04,43.8,95.73,35.03,2.87,0.75,18.12,39.15,44.67,25.8,87.0
Amritsar,2019-01-05,43.45,95.71,17.41,2.87,1.0,31.28,18.09,35.08,11.63,106.0
Amritsar,2019-01-06,58.44,141.53,13.55,21.20799999999999,0.84,31.93,23.22,30.28,22.5,121.0
Amritsar,2019-01-07,38.51,95.89,10.58,12.69,0.49,25.22,11.8,21.27,19.43,93.0
Amritsar,2019-01-08,23.92,45.63,10.22,21.06,0.51,11.71,8.83,17.6,10.46,47.0
Amritsar,2019-01-09,41.31,67.58,8.82,5.8,0.38,17.12,13.2,21.98,11.05,80.0
Amritsar,2019-01-10,18.15,51.03,10.58,21.20799999999999,0.62,15.92,13.16,23.71,9.36,57.0
Amritsar,2019-01-11,133.52499999999975,235.28,9.94,19.27,0.37,15.38,17.73,27.64,12.81,293.79999999999995
Amritsar,2019-01-12,60.29,99.83,10.06,8.9,0.71,24.19,9.54,19.6,4.93,89.0
Amritsar,2019-02-01,77.42,171.98,19.65,3.41,0.05,6.05,38.64,55.01,9.43,176.0
Amritsar,2019-02-02,40.16,68.34,15.32,3.41,0.0,4.31,11.01,26.34,1.55,62.0
Amritsar,2019-02-03,19.68,52.76,9.87,3.41,0.0,19.45,9.33,19.2,9.03,76.0
Amritsar,2019-02-04,71.36,120.11,48.59899999999999,3.41,0.53,24.38,49.10599999999995,70.69,37.40899999999996,118.0
Amritsar,2019-02-05,38.35,110.64,16.64,21.20799999999999,0.5,33.26,14.47,30.1,10.42,109.0
Amritsar,2019-02-06,49.65,120.56,11.27,19.91,1.2,22.67,17.6,24.49,16.26,124.0
Amritsar,2019-02-07,35.45,85.48,10.73,7.28,0.46,28.92,11.67,21.03,19.23,86.0
Amritsar,2019-02-08,16.58,37.38,9.41,9.62,0.1,18.66,9.06,17.4,10.23,42.0
Amritsar,2019-02-09,29.85,53.6,8.92,9.33,0.57,15.45,13.17,22.06,11.09,54.0
Amritsar,2019-02-10,27.76,65.44,10.66,21.20799999999999,0.82,18.07,13.38,23.26,9.41,67.0
Amritsar,2019-02-11,110.95,181.95,9.91,10.06,0.52,11.35,17.66,27.24,12.97,293.79999999999995
Amritsar,2019-02-12,84.89,137.8,9.93,9.17,0.5,26.53,9.65,19.5,5.01,145.0
Amritsar,2019-03-01,45.44,100.89,27.8,3.54,0.01,5.79,31.86,59.66,9.29,131.0
Amritsar,2019-03-02,47.96,88.1,13.39,3.54,0.0,8.42,15.4,28.79,2.18,84.0
Amritsar,2019-03-03,19.43,42.71,12.18,3.54,0.1,20.07,10.75,22.94,7.85,46.0
Amritsar,2019-03-04,54.24,94.69,48.59899999999999,3.54,0.76,27.24,49.10599999999995,79.45699999999991,37.40899999999996,139.0
Amritsar,2019-03-05,30.74,80.8,16.64,21.20799999999999,0.89,37.59,14.47,31.11,10.42,97.0
Amritsar,2019-03-06,63.82,181.11,10.54,14.4,0.39,24.17,17.18,23.38,14.2,135.0
Amritsar,2019-03-07,39.52,101.22,10.62,6.6,0.38,17.15,11.6,17.19,19.09,98.0
Amritsar,2019-03-08,24.34,49.36,9.82,5.44,0.54,16.52,9.15,17.87,10.23,45.0
Amritsar,2019-03-09,41.67,71.05,8.81,21.08,1.49,29.75,13.23,21.81,11.06,79.0
Amritsar,2019-03-10,28.07,69.46,10.32,10.21,0.58,21.01,12.93,22.75,9.29,84.0
Amritsar,2019-03-11,133.52499999999975,240.035,10.98,9.75,0.34,14.51,17.13,27.05,13.26,293.79999999999995
Amritsar,2019-03-12,87.69,140.27,10.05,10.68,0.59,22.89,9.51,19.2,5.1,183.0
Amritsar,2019-04-01,34.45,76.48,32.28,3.49,0.0,5.19,30.01,62.28,9.37,81.0
Amritsar,2019-04-02,67.94,156.16,14.99,3.49,0.0,9.61,18.46,33.44,2.33,113.0
Amritsar,2019-04-03,23.77,56.26,16.42,3.49,0.21,17.42,8.52,24.89,6.13,48.0
Amritsar,2019-04-04,66.98,111.23,48.59899999999999,3.49,0.73,29.25,23.01,78.47,37.40899999999996,110.0
Amritsar,2019-04-05,43.75,100.92,28.21,21.20799999999999,0.87,30.69,34.72,57.07,34.44,97.0
Amritsar,2019-04-06,38.14,123.69,7.91,6.54,0.58,31.2,14.94,16.64,17.73,148.0
Amritsar,2019-04-07,39.29,104.66,10.8,6.95,0.38,15.28,11.42,16.89,19.43,105.0
Amritsar,2019-04-08,41.6,63.19,9.07,5.36,0.54,13.28,7.75,16.81,10.07,67.0
Amritsar,2019-04-09,43.4,142.24,8.81,5.98,0.82,34.02,13.25,22.06,11.07,144.0
Amritsar,2019-04-10,24.0,51.78,10.56,6.6,0.09,15.08,13.19,23.62,9.32,55.0
Amritsar,2019-04-11,104.21,207.47,10.64,12.97,0.71,12.72,18.27,24.48,12.38,288.0
Amritsar,2019-04-12,90.75,145.52,10.6,13.24,0.16,23.74,10.45,19.15,5.34,220.0
Amritsar,2019-05-01,28.29,62.82,29.28,2.33,0.0,5.0,26.76,56.04,8.38,77.0
Amritsar,2019-05-02,48.54,154.64,15.21,2.33,0.0,12.19,18.18,31.56,3.36,146.0
Amritsar,2019-05-03,37.84,82.52,18.54,2.33,0.5,33.85,12.44,28.68,11.75,146.0
Amritsar,2019-05-04,84.64,139.75,48.59899999999999,2.33,0.83,25.79,26.32,79.45699999999991,32.63,167.0
Amritsar,2019-05-05,74.98,145.44,48.59899999999999,7.94,0.94,33.14,49.10599999999995,44.3,37.40899999999996,114.0
Amritsar,2019-05-06,51.45,115.44,9.43,16.63,0.68,27.17,16.52,17.31,19.86,104.0
Amritsar,2019-05-07,15.97,45.06,10.65,5.66,0.47,14.08,11.65,17.36,18.97,77.0
Amritsar,2019-05-08,31.11,54.02,9.13,4.81,0.24,10.51,8.11,15.87,10.09,59.0
Amritsar,2019-05-09,20.82,36.97,8.81,5.7,0.68,21.35,13.25,22.06,11.07,64.0
Amritsar,2019-05-10,30.18,54.28,10.3,4.8,0.21,27.04,12.51,22.68,8.98,60.0
Amritsar,2019-05-11,97.09,186.99,32.85,10.5,0.53,16.23,41.45,51.49,24.67,261.0
Amritsar,2019-05-12,66.85,103.82,13.89,9.82,0.5,21.56,11.81,20.33,5.53,147.0
Amritsar,2019-06-01,14.54,32.35,31.28,1.61,0.0,5.47,27.74,59.01,8.89,70.0
Amritsar,2019-06-02,82.06,113.3,14.76,1.61,0.0,7.35,16.11,30.87,4.22,154.0
Amritsar,2019-06-03,46.13,113.27,19.22,1.61,0.43,31.78,13.2,32.1,11.89,111.0
Amritsar,2019-06-04,92.19,167.42,22.71,1.61,0.77,26.43,9.8,32.14,9.58,182.0
Amritsar,2019-06-05,59.63,118.65,48.59899999999999,14.18,1.03,27.67,33.67,48.79,37.40899999999996,147.0
Amritsar,2019-06-06,46.72,88.35,9.22,12.95,0.53,39.67,18.38,21.0,21.43,103.0
Amritsar,2019-06-07,33.24,67.52,10.16,6.76,0.37,15.75,12.19,19.89,19.88,73.0
Amritsar,2019-06-08,33.02,56.3,9.18,5.25,0.28,16.48,8.78,17.56,10.12,56.0
Amritsar,2019-06-09,32.17,53.74,8.81,6.19,0.94,13.45,13.24,21.81,11.07,55.0
Amritsar,2019-06-10,66.88,95.67,12.09,4.7,0.32,39.06,11.96,20.86,30.09,86.0
Amritsar,2019-06-11,133.52499999999975,221.46,9.95,10.68,0.48,18.85,16.97,26.71,12.99,254.0
Amritsar,2019-06-12,54.62,84.09,11.54,11.64,0.24,17.87,10.47,20.38,5.25,106.0
Amritsar,2019-07-01,24.39,55.75,27.86,1.83,0.0,5.24,25.4,46.04,8.11,69.0
Amritsar,2019-07-02,45.96,60.92,14.65,1.83,0.0,8.81,15.23,29.88,4.11,98.0
Amritsar,2019-07-03,74.7,125.2,13.91,1.83,0.46,30.3,11.29,22.8,10.05,135.0
Amritsar,2019-07-04,28.98,72.15,20.28,1.83,0.56,13.72,9.91,30.18,9.14,122.0
Amritsar,2019-07-05,65.93,129.11,38.61,21.20799999999999,0.97,29.9,33.11,54.08,37.40899999999996,119.0
Amritsar,2019-07-06,35.52,68.81,9.41,21.20799999999999,0.7,38.58,16.51,20.08,18.25,79.0
Amritsar,2019-07-07,23.68,49.41,8.8,2.13,0.59,17.59,14.59,18.37,18.25,59.0
Amritsar,2019-07-08,27.95,50.61,8.96,5.53,0.5,17.22,7.85,16.73,10.06,52.0
Amritsar,2019-07-09,32.83,58.77,8.77,6.3,1.0,13.84,13.26,22.03,11.08,70.0
Amritsar,2019-07-10,34.53,75.78,11.41,3.05,0.23,36.75,10.57,20.97,30.69,94.0
Amritsar,2019-07-11,34.94,71.87,9.95,8.74,0.55,15.72,17.16,26.82,13.01,212.0
Amritsar,2019-07-12,74.16,111.95,10.78,18.45,0.82,17.24,10.88,18.86,5.19,121.0
Amritsar,2019-08-01,27.89,61.97,25.9,2.92,0.02,8.92,22.75,47.27,7.37,64.0
Amritsar,2019-08-02,30.86,53.32,12.28,2.92,0.0,18.45,11.87,24.14,3.83,71.0
Amritsar,2019-08-03,44.85,82.82,7.4,2.92,0.72,21.07,7.37,12.9,18.93,96.0
Amritsar,2019-08-04,34.9,94.52,22.68,2.92,0.32,15.59,12.05,34.11,10.6,90.0
Amritsar,2019-08-05,54.21,110.82,48.59899999999999,21.20799999999999,1.29,29.01,49.10599999999995,79.45699999999991,37.40899999999996,120.0
Amritsar,2019-08-06,39.76,97.33,9.65,19.92,0.86,28.88,14.99,21.39,14.95,90.0
Amritsar,2019-08-07,38.8,110.12,9.07,5.1,0.47,25.15,13.85,15.9,16.02,67.0
Amritsar,2019-08-08,27.18,64.55,8.96,2.96,0.48,14.03,8.85,16.41,10.13,61.0
Amritsar,2019-08-09,28.54,56.86,12.06,5.78,0.84,14.57,16.3,25.35,11.66,68.0
Amritsar,2019-08-10,48.2,73.6,11.35,1.51,0.28,35.6,12.29,21.7,31.13,132.0
Amritsar,2019-08-11,24.18,61.24,10.04,10.71,0.8,16.33,17.21,27.25,13.03,54.0
Amritsar,2019-08-12,67.0,114.79,12.9,12.39,0.74,20.02,11.94,21.4,5.63,123.0
