City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2015-05-09,52.4,0.0,14.81,9.89,16.97,22.55,16.97,31.78,0.0,301.0
Ahmedabad,2015-05-10,99.73,0.0,30.23,32.74,20.16,20.91,20.16,50.39,0.0,309.0
Ahmedabad,2015-05-11,135.85099999999997,0.0,35.31,50.33,28.41,20.91,28.41,60.37,0.0,536.0
Ahmedabad,2015-05-12,135.85099999999997,0.0,35.31,50.33,28.41,20.91,28.41,60.37,0.0,536.0
Ahmedabad,2015-06-01,135.85099999999997,0.0,38.48,45.76,45.41,46.51,45.41,81.5,0.0,536.0
Ahmedabad,2015-06-02,79.29,0.0,26.94,67.41,1.16,59.3,1.16,26.83,0.0,190.0
Ahmedabad,2015-06-03,79.29,0.0,26.94,67.41,1.16,59.3,1.16,26.83,0.0,190.0
Ahmedabad,2015-06-04,120.96,0.0,20.86,35.54,4.23,35.66,4.23,25.02,0.0,303.0
Ahmedabad,2015-06-05,65.11,0.0,4.58,22.27,3.14,32.26,3.14,6.75,0.0,120.0
Ahmedabad,2015-06-06,89.6,0.0,19.84,48.05,6.59,44.78,6.59,25.9,0.0,223.0
Ahmedabad,2015-06-07,51.74,0.0,12.38,10.05,8.91,5.78,8.91,21.28,0.0,200.0
Ahmedabad,2015-06-08,42.56,0.0,20.4,6.28,7.17,9.86,7.17,27.57,0.0,172.0
Ahmedabad,2015-06-09,33.33,0.0,14.89,6.88,16.95,33.58,16.95,31.84,0.0,302.0
Ahmedabad,2015-06-10,84.15,0.0,32.1,19.37,15.83,23.12,15.83,47.93,0.0,519.0
Ahmedabad,2015-06-11,135.85099999999997,0.0,50.11,40.78,39.61,27.9,39.61,89.72,0.0,354.0
Ahmedabad,2015-06-12,135.85099999999997,0.0,50.11,40.78,39.61,27.9,39.61,89.72,0.0,354.0
Ahmedabad,2015-07-01,135.85099999999997,0.0,40.62,32.28,59.355999999999995,33.47,59.355999999999995,113.47,0.0,354.0
Ahmedabad,2015-07-02,88.7,0.0,31.32,80.09,7.29,44.76,7.29,37.73,0.0,247.0
Ahmedabad,2015-07-03,105.45,0.0,16.1,29.29,2.5,69.9,2.5,18.66,0.0,247.0
Ahmedabad,2015-07-04,135.85099999999997,0.0,25.47,87.43,5.65,29.77,5.65,30.67,0.0,314.0
Ahmedabad,2015-07-05,51.03,0.0,20.47,15.5,6.24,31.44,6.24,26.2,0.0,158.0
Ahmedabad,2015-07-06,80.69,0.0,16.07,39.85,6.86,32.65,6.86,22.25,0.0,192.0
